This is the highest I was able to go at timeframe- 5 hours and interval- 1minute for live market after that some technical issue arises and I wasnt able to hit buy and exit trades for them
So The given are terminal logs for same

date time | Price | Signal
2025-12-30 10:30:58.651536 | Price: 87919.35 | Signal: HOLD
2025-12-30 10:31:59.240685 | Price: 87939.58 | Signal: HOLD
2025-12-30 10:32:59.759611 | Price: 88016.27 | Signal: HOLD
2025-12-30 10:34:00.277277 | Price: 87992.7 | Signal: HOLD
2025-12-30 10:35:00.692796 | Price: 88007.42 | Signal: HOLD
2025-12-30 10:36:01.211356 | Price: 88050.0 | Signal: HOLD
2025-12-30 10:37:01.638962 | Price: 88037.9 | Signal: HOLD
2025-12-30 10:38:02.145680 | Price: 88063.87 | Signal: HOLD
2025-12-30 10:39:02.561673 | Price: 88040.24 | Signal: HOLD
2025-12-30 10:40:02.987780 | Price: 88030.77 | Signal: HOLD
2025-12-30 10:41:03.599793 | Price: 88059.91 | Signal: HOLD
2025-12-30 10:42:04.033589 | Price: 88079.2 | Signal: HOLD
2025-12-30 10:43:04.492206 | Price: 88090.02 | Signal: HOLD
2025-12-30 10:44:04.948876 | Price: 88131.99 | Signal: HOLD
2025-12-30 10:45:05.584634 | Price: 88150.0 | Signal: HOLD
2025-12-30 10:46:06.088982 | Price: 88153.49 | Signal: HOLD
2025-12-30 10:47:06.607665 | Price: 88144.63 | Signal: HOLD
2025-12-30 10:48:07.127953 | Price: 88144.64 | Signal: HOLD
2025-12-30 10:49:07.646773 | Price: 88091.1 | Signal: HOLD
2025-12-30 10:50:08.283868 | Price: 88143.1 | Signal: HOLD
2025-12-30 10:51:08.890097 | Price: 88092.69 | Signal: HOLD
2025-12-30 10:52:09.331919 | Price: 88087.76 | Signal: HOLD
2025-12-30 10:53:09.825797 | Price: 88000.01 | Signal: HOLD
2025-12-30 10:54:10.252508 | Price: 87994.18 | Signal: HOLD
2025-12-30 10:55:10.760889 | Price: 87962.0 | Signal: HOLD
2025-12-30 10:56:11.201421 | Price: 87925.05 | Signal: EXIT
2025-12-30 10:57:11.639138 | Price: 87938.26 | Signal: HOLD
2025-12-30 10:58:12.107471 | Price: 87955.99 | Signal: HOLD
2025-12-30 10:59:12.734149 | Price: 87951.25 | Signal: HOLD
2025-12-30 11:00:13.252702 | Price: 87949.51 | Signal: HOLD
2025-12-30 11:01:13.873681 | Price: 87928.98 | Signal: HOLD
2025-12-30 11:02:14.392510 | Price: 87902.44 | Signal: HOLD
2025-12-30 11:03:14.911041 | Price: 87910.52 | Signal: HOLD
2025-12-30 11:04:15.388186 | Price: 87910.53 | Signal: HOLD
2025-12-30 11:05:15.948176 | Price: 87925.0 | Signal: HOLD
2025-12-30 11:06:16.396015 | Price: 87928.43 | Signal: HOLD
2025-12-30 11:07:16.883675 | Price: 87901.09 | Signal: HOLD
2025-12-30 11:08:17.391174 | Price: 87915.51 | Signal: HOLD
2025-12-30 11:09:18.022847 | Price: 87964.86 | Signal: HOLD
2025-12-30 11:10:18.544580 | Price: 87989.99 | Signal: HOLD
2025-12-30 11:11:19.163097 | Price: 87994.81 | Signal: HOLD
2025-12-30 11:12:19.648179 | Price: 87995.0 | Signal: HOLD

